"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"104","77075","77075","28504209.0","482492.0","+29.6204200","-095.2689392","37388","3886","3527","3372","2942","2933","3432","3246","2922","2439","2266","1967","1560","1103","640","464","343","200","146","18328","1986","1752","1720","1461","1388","1699","1547","1464","1203","1087","935","748","521","313","200","157","93","54","19060","1900","1775","1652","1481","1545","1733","1699","1458","1236","1179","1032","812","582","327","264","186","107","92","27.9","27.5","28.4","26006","12579","13427","24764","11972","12792","23138","11143","11995","2421","1120","1301","1793","817","976","37388","36074","18092","7102","233","2511","121","60","157","2","20","1905","246","27","8","13","2","4","8109","1314","62","91","149","711","19153","7441","397","2692","58","9022","37388","23962","19885","240","56","3781","13426","37388","23962","14436","240","196","33","9","8063","985","13426","3656","6862","37","2478","18","46","329","37388","37388","11190","5770","14344","10880","4238","1600","485","1846","142","43","888","0","0","0","0","0","0","0","11190","8816","5512","5770","3644","842","430","2204","1438","2374","1858","976","112","882","174","6138","1404","3.34","3.76","12024","11190","834","540","9","92","13","25","155","1.4","10.6","11190","6627","4563","23755","13633","3.58","2.99","0.31818021542","0.00270006842"
"105","77076","77076","12362319.0","1255.0","+29.8600206","-095.3821837","33803","3551","3274","2865","2843","2994","2927","2614","2363","2229","1956","1727","1404","995","677","457","376","306","245","17246","1800","1659","1525","1419","1579","1551","1375","1253","1143","1051","848","715","499","314","199","125","110","81","16557","1751","1615","1340","1424","1415","1376","1239","1110","1086","905","879","689","496","363","258","251","196","164","27.3","27.0","27.7","23542","11973","11569","22406","11409","10997","20687","10552","10135","2622","1119","1503","2061","829","1232","33803","32535","19673","2446","294","82","18","21","10","7","5","16","5","19","0","11","1","7","10021","1268","62","20","55","950","20805","2583","424","153","50","11114","33803","28479","23974","73","55","4377","5324","33803","28479","16880","154","270","5","12","9989","1169","5324","2793","2292","24","77","7","32","99","33803","33665","9304","4745","12941","9277","4668","1931","355","2007","177","46","677","138","138","56","82","0","0","0","9304","7427","4399","4745","2929","826","357","1856","1113","1877","1380","690","130","690","328","5154","1550","3.62","4.01","10193","9304","889","533","27","69","22","28","210","1.4","10.6","9304","4814","4490","18092","15573","3.76","3.47","0.19148797911","0.00115433667"
"106","77077","77077","22570700.0","205539.0","+29.7502334","-095.6153844","52151","3750","2890","2616","2617","3826","5425","4725","3952","3419","3562","3781","3358","2819","1853","1126","863","775","794","25072","1960","1476","1330","1304","1763","2529","2342","2029","1648","1639","1748","1580","1340","879","526","389","309","281","27079","1790","1414","1286","1313","2063","2896","2383","1923","1771","1923","2033","1778","1479","974","600","474","466","513","35.3","34.6","36.0","42367","20035","22332","41284","19487","21797","39718","18758","20960","7041","3157","3884","5411","2384","3027","52151","50396","30430","10195","189","6037","2206","1350","373","270","406","611","821","33","4","7","3","19","3512","1755","106","539","234","394","31816","10703","405","6825","107","4157","52151","10963","5347","376","294","4946","41188","52151","10963","6487","359","75","57","3","3344","638","41188","23943","9836","114","5980","30","168","1117","52151","51994","24376","9400","12841","10083","2585","661","485","2792","107","85","1472","157","157","49","108","0","0","0","24376","13326","6239","9400","3938","994","470","2932","1831","11050","9410","4432","459","4978","1170","6672","4020","2.13","2.86","27105","24376","2729","1874","137","248","24","227","219","2.5","11.2","24376","9658","14718","22794","29200","2.36","1.98","0.26604346973","0.00212424812"
"106.ring1","77077","77077","22570700.0","205539.0","+29.7502334","-095.6153844","52151","3750","2890","2616","2617","3826","5425","4725","3952","3419","3562","3781","3358","2819","1853","1126","863","775","794","25072","1960","1476","1330","1304","1763","2529","2342","2029","1648","1639","1748","1580","1340","879","526","389","309","281","27079","1790","1414","1286","1313","2063","2896","2383","1923","1771","1923","2033","1778","1479","974","600","474","466","513","35.3","34.6","36.0","42367","20035","22332","41284","19487","21797","39718","18758","20960","7041","3157","3884","5411","2384","3027","52151","50396","30430","10195","189","6037","2206","1350","373","270","406","611","821","33","4","7","3","19","3512","1755","106","539","234","394","31816","10703","405","6825","107","4157","52151","10963","5347","376","294","4946","41188","52151","10963","6487","359","75","57","3","3344","638","41188","23943","9836","114","5980","30","168","1117","52151","51994","24376","9400","12841","10083","2585","661","485","2792","107","85","1472","157","157","49","108","0","0","0","24376","13326","6239","9400","3938","994","470","2932","1831","11050","9410","4432","459","4978","1170","6672","4020","2.13","2.86","27105","24376","2729","1874","137","248","24","227","219","2.5","11.2","24376","9658","14718","22794","29200","2.36","1.98","0.26604346973","0.00212424812"
"107","77078","77078","27739005.0","223558.0","+29.8523786","-095.2540763","14777","1415","1370","1326","1325","1138","1035","970","885","814","931","824","850","771","479","276","187","116","65","7045","692","696","715","659","577","497","474","398","381","431","354","369","326","203","113","89","44","27","7732","723","674","611","666","561","538","496","487","433","500","470","481","445","276","163","98","72","38","28.9","26.7","30.9","10423","4825","5598","9888","4540","5348","9118","4162","4956","1566","672","894","1123","476","647","14777","14513","2924","9130","67","20","2","2","3","0","0","5","8","1","0","0","0","1","2371","264","3","4","42","153","3141","9228","96","36","4","2559","14777","5127","4423","22","8","674","9650","14777","5127","2430","95","41","5","0","2356","200","9650","494","9035","26","15","1","15","64","14777","14685","4405","1666","5562","3670","2380","1146","164","672","65","35","279","92","0","0","0","92","56","36","4405","3436","1666","1666","774","321","111","1449","781","969","809","339","94","470","149","2156","910","3.33","3.8","4898","4405","493","219","10","48","15","14","187","1.8","10.6","4405","2559","1846","8441","6244","3.3","3.38","0.2958322296","0.00261058504"
"108","77079","77079","18911214.0","144827.0","+29.7760925","-095.6030365","31280","2019","2335","2429","2149","1379","1719","1779","2058","2243","2293","2640","2246","1626","1176","1065","933","750","441","14995","1022","1180","1238","1093","695","857","840","931","1038","1075","1249","1084","779","520","465","390","327","212","16285","997","1155","1191","1056","684","862","939","1127","1205","1218","1391","1162","847","656","600","543","423","229","39.5","38.2","40.6","24005","11311","12694","22997","10799","12198","22109","10338","11771","5303","2355","2948","4365","1914","2451","31280","30367","23602","2518","102","2740","480","625","87","244","703","189","412","10","0","3","2","5","1395","913","83","303","122","194","24365","2751","243","3148","41","1696","31280","4871","2767","129","136","1839","26409","31280","4871","3095","94","49","20","0","1322","291","26409","20507","2424","53","2720","10","73","622","31280","31276","12201","6835","9951","7841","1353","385","255","936","55","39","455","4","0","0","0","4","4","0","12201","8708","4214","6835","3161","428","200","1445","853","3493","3034","1266","275","1768","794","4443","3076","2.56","3.08","13335","12201","1134","770","10","122","38","70","124","1.5","15.2","12201","7922","4279","20412","10864","2.58","2.54","0.31152940362","0.00177773178"
"109","77080","77080","16532128.0","88865.0","+29.8158930","-095.5229635","45275","4269","3722","3268","3187","3772","4165","3693","3319","2913","2687","2415","2007","1516","1177","1026","842","690","607","23780","2201","1911","1726","1704","2222","2455","2049","1824","1603","1409","1260","986","708","514","422","343","269","174","21495","2068","1811","1542","1483","1550","1710","1644","1495","1310","1278","1155","1021","808","663","604","499","421","433","30.3","29.3","31.7","33428","17637","15791","32160","16990","15170","30128","15825","14303","5228","2126","3102","4342","1722","2620","45275","43400","26555","2282","477","1513","100","127","136","18","287","720","125","13","1","4","2","6","12560","1875","92","94","121","1288","28209","2528","713","1671","38","14071","45275","30909","23506","182","111","7110","14366","45275","30909","16144","234","422","34","7","12473","1595","14366","10411","2048","55","1479","6","87","280","45275","45111","14741","6546","14631","11024","5417","1849","408","3776","211","81","1208","164","113","44","69","51","19","32","14741","10267","5440","6546","3457","1395","597","2326","1386","4474","3419","1597","300","1822","984","6196","3233","3.06","3.59","16376","14741","1635","1275","20","101","23","33","183","1.6","12.8","14741","6053","8688","16779","28332","2.77","3.26","0.21297628741","0.00155117334"
"110","77081","77081","8019956.0","3242.0","+29.7120990","-095.4809349","47860","5368","4092","3007","3020","4804","6126","5518","4250","3307","2612","2066","1398","915","565","321","208","150","133","26165","2727","2099","1544","1727","2687","3493","3131","2429","1912","1496","1064","734","476","296","149","88","55","58","21695","2641","1993","1463","1293","2117","2633","2387","1821","1395","1116","1002","664","439","269","172","120","95","75","27.9","28.3","27.5","34802","19448","15354","33628","18768","14860","31591","17653","13938","1884","889","995","1377","646","731","47860","44850","24539","4834","487","2673","490","926","113","16","55","231","842","12","1","8","0","3","12305","3010","138","112","107","2139","27150","5167","886","2887","80","14853","47860","36017","20888","112","364","14653","11843","47860","36017","20154","430","453","25","12","12223","2720","11843","4385","4404","34","2648","0","82","290","47860","47660","16569","5869","14854","12432","5399","1391","271","4969","234","59","1628","200","173","156","17","27","14","13","16569","10197","6303","5869","3866","1889","779","2439","1658","6372","4495","2668","190","1827","290","6916","1174","2.88","3.56","19352","16569","2783","2402","104","24","1","32","220","2.1","13.4","16569","1112","15457","2869","44791","2.58","2.9","0.22191655857","0.00074801105"
"110.ring1","77081","77081","8019956.0","3242.0","+29.7120990","-095.4809349","47860","5368","4092","3007","3020","4804","6126","5518","4250","3307","2612","2066","1398","915","565","321","208","150","133","26165","2727","2099","1544","1727","2687","3493","3131","2429","1912","1496","1064","734","476","296","149","88","55","58","21695","2641","1993","1463","1293","2117","2633","2387","1821","1395","1116","1002","664","439","269","172","120","95","75","27.9","28.3","27.5","34802","19448","15354","33628","18768","14860","31591","17653","13938","1884","889","995","1377","646","731","47860","44850","24539","4834","487","2673","490","926","113","16","55","231","842","12","1","8","0","3","12305","3010","138","112","107","2139","27150","5167","886","2887","80","14853","47860","36017","20888","112","364","14653","11843","47860","36017","20154","430","453","25","12","12223","2720","11843","4385","4404","34","2648","0","82","290","47860","47660","16569","5869","14854","12432","5399","1391","271","4969","234","59","1628","200","173","156","17","27","14","13","16569","10197","6303","5869","3866","1889","779","2439","1658","6372","4495","2668","190","1827","290","6916","1174","2.88","3.56","19352","16569","2783","2402","104","24","1","32","220","2.1","13.4","16569","1112","15457","2869","44791","2.58","2.9","0.22191655857","0.00074801105"
"111.0","77082","77082","32515705.0","420932.0","+29.7244903","-095.6400024","49900","3986","3262","3006","3016","4133","5251","4483","3987","3445","3318","3254","2790","2182","1351","857","647","488","444","23719","2010","1733","1546","1517","1928","2445","2128","1953","1611","1511","1461","1270","1019","639","388","268","169","123","26181","1976","1529","1460","1499","2205","2806","2355","2034","1834","1807","1793","1520","1163","712","469","379","319","321","32.4","31.5","33.3","39049","18141","20908","37868","17544","20324","35885","16524","19361","4970","2144","2826","3787","1587","2200","49900","48010","19857","16229","260","6998","1573","1286","635","52","205","2205","1042","17","6","4","4","3","4649","1890","89","380","312","515","21287","16897","534","7610","108","5511","49900","14588","7524","470","347","6247","35312","49900","14588","8441","475","161","76","8","4532","895","35312","11416","15754","99","6922","9","117","995","49900","49610","20374","7488","14393","10504","4429","1350","682","2926","168","78","1424","290","287","87","200","3","3","0","20374","12119","6038","7488","3433","1126","502","3505","2103","8255","6816","3141","281","3675","732","6744","2840","2.43","3.17","23058","20374","2684","2115","31","279","20","80","159","3.4","14.4","20374","7788","12586","22195","27415","2.85","2.18","0.35625001728","0.00307106921"
"111.1","77082","77082","32515705.0","420932.0","+29.7244903","-095.6400024","49900","3986","3262","3006","3016","4133","5251","4483","3987","3445","3318","3254","2790","2182","1351","857","647","488","444","23719","2010","1733","1546","1517","1928","2445","2128","1953","1611","1511","1461","1270","1019","639","388","268","169","123","26181","1976","1529","1460","1499","2205","2806","2355","2034","1834","1807","1793","1520","1163","712","469","379","319","321","32.4","31.5","33.3","39049","18141","20908","37868","17544","20324","35885","16524","19361","4970","2144","2826","3787","1587","2200","49900","48010","19857","16229","260","6998","1573","1286","635","52","205","2205","1042","17","6","4","4","3","4649","1890","89","380","312","515","21287","16897","534","7610","108","5511","49900","14588","7524","470","347","6247","35312","49900","14588","8441","475","161","76","8","4532","895","35312","11416","15754","99","6922","9","117","995","49900","49610","20374","7488","14393","10504","4429","1350","682","2926","168","78","1424","290","287","87","200","3","3","0","20374","12119","6038","7488","3433","1126","502","3505","2103","8255","6816","3141","281","3675","732","6744","2840","2.43","3.17","23058","20374","2684","2115","31","279","20","80","159","3.4","14.4","20374","7788","12586","22195","27415","2.85","2.18","0.35625001728","0.00307106921"
