"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"65.ring1","77034","77034","35559329.0","638131.0","+29.6193647","-095.1911920","33678","3372","3036","2691","2539","2958","3220","2907","2538","2114","2088","1726","1426","966","656","502","439","310","190","16861","1678","1543","1402","1261","1517","1572","1505","1248","1143","996","890","744","457","308","208","191","124","74","16817","1694","1493","1289","1278","1441","1648","1402","1290","971","1092","836","682","509","348","294","248","186","116","28.4","28.2","28.6","24072","11984","12088","23082","11492","11590","21453","10676","10777","2665","1190","1475","2097","905","1192","33678","32436","19712","3880","303","1201","128","56","78","19","31","594","295","29","3","6","3","17","7311","1242","112","90","134","684","20774","4123","473","1373","70","8151","33678","22840","18402","258","94","4086","10838","33678","22840","14078","193","249","33","9","7279","999","10838","5634","3687","54","1168","20","32","243","33678","33657","11043","5083","12093","8992","3640","1462","367","1798","127","42","865","21","4","1","3","17","7","10","11043","7885","4597","5083","2986","870","405","1932","1206","3158","2567","1429","154","1138","317","5235","1609","3.05","3.64","12778","11043","1735","1221","19","100","11","23","361","1.8","17.7","11043","5367","5676","18409","15248","3.43","2.69","0.47613431491","0.00337163035"
"66","77035","77035","14769443.0","8531.0","+29.6534183","-095.4752961","35896","3399","2871","2495","2485","2578","2973","2781","2605","2400","2385","2284","2078","1465","947","651","583","495","421","17428","1729","1480","1232","1276","1271","1526","1464","1271","1171","1149","1043","937","659","395","262","228","179","156","18468","1670","1391","1263","1209","1307","1447","1317","1334","1229","1236","1241","1141","806","552","389","355","316","265","31.9","30.7","33.5","26624","12734","13890","25663","12241","13422","24129","11464","12665","3889","1574","2315","3097","1220","1877","35896","34736","16193","11287","231","1930","136","184","275","11","15","541","768","14","0","9","3","2","5081","1160","57","120","142","509","17088","11617","422","2166","60","5778","35896","14147","8683","152","150","5162","21749","35896","14147","8029","172","172","31","3","5030","710","21749","8164","11115","59","1899","11","51","450","35896","35711","13071","4932","11721","8778","3544","1312","323","2443","137","70","1012","185","111","28","83","74","26","48","13071","8530","4532","4932","2531","873","402","2725","1599","4541","3616","1612","243","2004","652","5153","2326","2.73","3.37","15355","13071","2284","1764","17","113","17","30","343","1.9","19.5","13071","5804","7267","14427","21284","2.49","2.93","0.26632936322","0.00137697086"
"67","77036","77036","18432161.0","106524.0","+29.7018468","-095.5345372","71969","7450","5971","4651","4616","6609","7469","6887","5855","4724","4184","3606","2787","2007","1506","1159","949","791","748","38001","3840","3158","2377","2465","3660","4256","3828","3199","2589","2221","1876","1355","949","693","512","402","341","280","33968","3610","2813","2274","2151","2949","3213","3059","2656","2135","1963","1730","1432","1058","813","647","547","450","468","29.5","29.0","30.0","53037","28197","24840","51255","27243","24012","48141","25505","22636","6284","2757","3527","5153","2228","2925","71969","68338","28218","12398","809","10252","494","4420","339","17","89","2987","1906","123","4","91","6","22","16538","3631","109","226","184","2312","31172","12916","1287","10748","204","19429","71969","42601","24268","337","920","17076","29368","71969","42601","21712","609","734","83","86","16400","2977","29368","6506","11789","75","10169","37","138","654","71969","71580","24878","9360","22881","18255","8112","2102","728","6349","308","159","2116","389","275","101","174","114","95","19","24878","16323","9215","9360","5302","2594","1072","4369","2841","8555","6481","3693","474","2788","923","10214","3773","2.88","3.47","30117","24878","5239","4552","55","151","20","62","399","2.7","18.9","24878","5340","19538","14317","57263","2.68","2.93","0.32391612558","0.00172820948"
"67.ring1","77036","77036","18432161.0","106524.0","+29.7018468","-095.5345372","71969","7450","5971","4651","4616","6609","7469","6887","5855","4724","4184","3606","2787","2007","1506","1159","949","791","748","38001","3840","3158","2377","2465","3660","4256","3828","3199","2589","2221","1876","1355","949","693","512","402","341","280","33968","3610","2813","2274","2151","2949","3213","3059","2656","2135","1963","1730","1432","1058","813","647","547","450","468","29.5","29.0","30.0","53037","28197","24840","51255","27243","24012","48141","25505","22636","6284","2757","3527","5153","2228","2925","71969","68338","28218","12398","809","10252","494","4420","339","17","89","2987","1906","123","4","91","6","22","16538","3631","109","226","184","2312","31172","12916","1287","10748","204","19429","71969","42601","24268","337","920","17076","29368","71969","42601","21712","609","734","83","86","16400","2977","29368","6506","11789","75","10169","37","138","654","71969","71580","24878","9360","22881","18255","8112","2102","728","6349","308","159","2116","389","275","101","174","114","95","19","24878","16323","9215","9360","5302","2594","1072","4369","2841","8555","6481","3693","474","2788","923","10214","3773","2.88","3.47","30117","24878","5239","4552","55","151","20","62","399","2.7","18.9","24878","5340","19538","14317","57263","2.68","2.93","0.32391612558","0.00172820948"
"67.ring2","77036","77036","18432161.0","106524.0","+29.7018468","-095.5345372","71969","7450","5971","4651","4616","6609","7469","6887","5855","4724","4184","3606","2787","2007","1506","1159","949","791","748","38001","3840","3158","2377","2465","3660","4256","3828","3199","2589","2221","1876","1355","949","693","512","402","341","280","33968","3610","2813","2274","2151","2949","3213","3059","2656","2135","1963","1730","1432","1058","813","647","547","450","468","29.5","29.0","30.0","53037","28197","24840","51255","27243","24012","48141","25505","22636","6284","2757","3527","5153","2228","2925","71969","68338","28218","12398","809","10252","494","4420","339","17","89","2987","1906","123","4","91","6","22","16538","3631","109","226","184","2312","31172","12916","1287","10748","204","19429","71969","42601","24268","337","920","17076","29368","71969","42601","21712","609","734","83","86","16400","2977","29368","6506","11789","75","10169","37","138","654","71969","71580","24878","9360","22881","18255","8112","2102","728","6349","308","159","2116","389","275","101","174","114","95","19","24878","16323","9215","9360","5302","2594","1072","4369","2841","8555","6481","3693","474","2788","923","10214","3773","2.88","3.47","30117","24878","5239","4552","55","151","20","62","399","2.7","18.9","24878","5340","19538","14317","57263","2.68","2.93","0.32391612558","0.00172820948"
"67.ring3","77036","77036","18432161.0","106524.0","+29.7018468","-095.5345372","71969","7450","5971","4651","4616","6609","7469","6887","5855","4724","4184","3606","2787","2007","1506","1159","949","791","748","38001","3840","3158","2377","2465","3660","4256","3828","3199","2589","2221","1876","1355","949","693","512","402","341","280","33968","3610","2813","2274","2151","2949","3213","3059","2656","2135","1963","1730","1432","1058","813","647","547","450","468","29.5","29.0","30.0","53037","28197","24840","51255","27243","24012","48141","25505","22636","6284","2757","3527","5153","2228","2925","71969","68338","28218","12398","809","10252","494","4420","339","17","89","2987","1906","123","4","91","6","22","16538","3631","109","226","184","2312","31172","12916","1287","10748","204","19429","71969","42601","24268","337","920","17076","29368","71969","42601","21712","609","734","83","86","16400","2977","29368","6506","11789","75","10169","37","138","654","71969","71580","24878","9360","22881","18255","8112","2102","728","6349","308","159","2116","389","275","101","174","114","95","19","24878","16323","9215","9360","5302","2594","1072","4369","2841","8555","6481","3693","474","2788","923","10214","3773","2.88","3.47","30117","24878","5239","4552","55","151","20","62","399","2.7","18.9","24878","5340","19538","14317","57263","2.68","2.93","0.32391612558","0.00172820948"
"68.0","77037","77037","16146946.0","25516.0","+29.8903602","-095.3925272","19819","2019","1931","1749","1734","1500","1591","1593","1502","1298","1146","1056","794","602","470","341","238","154","101","10427","1063","980","915","908","842","886","905","787","683","613","557","420","312","191","158","103","66","38","9392","956","951","834","826","658","705","688","715","615","533","499","374","290","279","183","135","88","63","28.1","27.8","28.4","13792","7292","6500","13083","6929","6154","12085","6391","5694","1643","721","922","1304","556","748","19819","18996","11903","347","226","341","22","11","7","3","6","256","36","2","1","1","0","0","6177","823","17","24","32","639","12632","413","306","392","9","6914","19819","16793","14183","42","31","2537","3026","19819","16793","9542","107","214","13","2","6153","762","3026","2361","240","12","328","0","24","61","19819","19796","5122","2968","7654","5410","2855","1188","197","1197","133","30","404","23","0","0","0","23","7","16","5122","4253","2423","2968","1783","536","241","749","399","869","641","349","70","292","166","2874","976","3.86","4.17","5521","5122","399","121","5","64","25","8","176","1.8","6.8","5122","3475","1647","13270","6526","3.82","3.96","0.26552338305","0.00151042559"
"68.1","77037","77037","16146946.0","25516.0","+29.8903602","-095.3925272","19819","2019","1931","1749","1734","1500","1591","1593","1502","1298","1146","1056","794","602","470","341","238","154","101","10427","1063","980","915","908","842","886","905","787","683","613","557","420","312","191","158","103","66","38","9392","956","951","834","826","658","705","688","715","615","533","499","374","290","279","183","135","88","63","28.1","27.8","28.4","13792","7292","6500","13083","6929","6154","12085","6391","5694","1643","721","922","1304","556","748","19819","18996","11903","347","226","341","22","11","7","3","6","256","36","2","1","1","0","0","6177","823","17","24","32","639","12632","413","306","392","9","6914","19819","16793","14183","42","31","2537","3026","19819","16793","9542","107","214","13","2","6153","762","3026","2361","240","12","328","0","24","61","19819","19796","5122","2968","7654","5410","2855","1188","197","1197","133","30","404","23","0","0","0","23","7","16","5122","4253","2423","2968","1783","536","241","749","399","869","641","349","70","292","166","2874","976","3.86","4.17","5521","5122","399","121","5","64","25","8","176","1.8","6.8","5122","3475","1647","13270","6526","3.82","3.96","0.26552338305","0.00151042559"
"69","77038","77038","24381853.0","193179.0","+29.9185953","-095.4411938","26713","2821","2677","2577","2239","2050","2267","2348","2092","1807","1584","1322","1035","755","446","326","182","126","59","13473","1390","1350","1347","1184","1129","1167","1150","1040","898","794","638","505","376","200","158","78","49","20","13240","1431","1327","1230","1055","921","1100","1198","1052","909","790","684","530","379","246","168","104","77","39","27.3","26.6","28.1","18142","9129","9013","17209","8638","8571","15997","7966","8031","1543","704","839","1139","505","634","26713","25731","11727","5163","311","1564","62","43","58","0","4","908","489","28","3","16","1","8","6938","982","46","19","85","614","12518","5323","471","1632","52","7728","26713","18380","14445","118","103","3714","8333","26713","18380","10120","193","279","26","0","6908","854","8333","1607","4970","32","1538","28","30","128","26713","26699","7286","3832","10646","7968","3546","1414","314","1389","117","35","538","14","0","0","0","14","10","4","7286","6037","3722","3832","2428","656","326","1549","968","1249","952","532","80","420","110","4287","906","3.66","3.99","7922","7286","636","427","10","74","19","16","90","1.8","11.5","7286","4000","3286","15444","11255","3.86","3.43","0.264999462","0.00229580084"
"70","77039","77039","26147028.0","117333.0","+29.9111705","-095.3411823","27562","2792","2628","2460","2518","2284","2076","1993","1856","1754","1659","1472","1181","980","726","521","315","210","137","14081","1377","1355","1245","1353","1249","1108","1076","917","885","848","781","587","454","324","244","142","95","41","13481","1415","1273","1215","1165","1035","968","917","939","869","811","691","594","526","402","277","173","115","96","27.6","26.9","28.4","19197","9840","9357","18174","9304","8870","16674","8484","8190","2457","1094","1363","1909","846","1063","27562","26391","15368","2881","266","260","30","46","12","3","11","42","116","7","5","2","0","0","7609","1171","47","25","55","856","16386","3034","383","328","27","8624","27562","21842","18666","99","25","3052","5720","27562","21842","12850","133","243","23","7","7560","1026","5720","2518","2748","23","237","0","49","145","27562","27453","7184","3920","10463","7202","4345","1985","289","1541","165","39","483","109","11","11","0","98","56","42","7184","5945","3251","3920","2232","638","267","1387","752","1239","953","478","111","475","232","4014","1452","3.82","4.15","8089","7184","905","435","14","95","36","16","309","2.1","13.5","7184","4419","2765","16919","10534","3.83","3.81","0.2540574042","0.0024533958"
"71","77040","77040","36397226.0","227882.0","+29.8745748","-095.5270990","45081","3830","3362","3247","3134","3361","3826","3411","3307","3131","3136","3168","2755","2177","1297","793","523","354","269","22572","1969","1719","1682","1582","1717","1966","1710","1680","1553","1537","1555","1350","1049","640","382","225","147","109","22509","1861","1643","1565","1552","1644","1860","1701","1627","1578","1599","1613","1405","1128","657","411","298","207","160","32.6","31.8","33.4","34024","16899","17125","32771","16275","16496","30872","15305","15567","4435","2077","2358","3236","1503","1733","45081","43537","25627","5989","433","3253","337","375","172","27","143","1885","314","22","2","17","1","2","8213","1544","124","127","176","760","26906","6354","701","3500","53","9211","45081","21153","15947","226","90","4890","23928","45081","21153","11352","211","352","30","11","8112","1085","23928","14275","5778","81","3223","11","101","459","45081","44915","15976","7863","14491","10617","4239","1550","492","2346","137","60","1055","166","158","50","108","8","8","0","15976","11156","5661","7863","3806","975","445","2318","1410","4820","3900","2081","232","1819","397","6401","2351","2.81","3.38","17649","15976","1673","1273","23","171","36","50","120","1.8","16.0","15976","9314","6662","28020","16895","3.01","2.54","0.3715046375","0.00342003741"
"72","77041","77041","47929493.0","477837.0","+29.8585999","-095.5807684","37146","2934","3174","3096","2756","2211","2488","2556","2973","3003","2904","2764","2272","1699","1001","563","376","217","159","18607","1503","1581","1591","1460","1140","1233","1288","1422","1508","1444","1370","1101","873","509","282","172","82","48","18539","1431","1593","1505","1296","1071","1255","1268","1551","1495","1460","1394","1171","826","492","281","204","135","111","33.8","33.2","34.4","27352","13636","13716","26153","13006","13147","24733","12228","12505","3233","1552","1681","2316","1093","1223","37146","35913","20960","3220","274","5789","1049","556","302","37","733","2600","512","21","3","4","6","8","5649","1233","62","207","124","520","21946","3455","485","6137","49","6379","37146","16661","12484","120","108","3949","20485","37146","16661","9900","157","234","37","9","5572","752","20485","11060","3063","40","5752","12","77","481","37146","37064","11506","7384","13017","9557","3702","1258","552","1455","144","44","531","82","0","0","0","82","17","65","11506","9218","4882","7384","3964","578","253","1256","665","2288","1831","964","102","867","221","5410","1773","3.22","3.61","11997","11506","491","150","9","134","18","53","127","1.5","5.1","11506","8710","2796","28852","8212","3.31","2.94","0.39371242506","0.0045196389"
"73.0","77042","77042","16189862.0","100352.0","+29.7413251","-095.5602537","36385","2947","2146","1573","1518","3194","4657","3941","3130","2407","2171","2238","1883","1530","1109","756","541","362","282","17769","1454","1066","805","728","1469","2306","2008","1643","1273","1073","1061","838","689","501","335","236","176","108","18616","1493","1080","768","790","1725","2351","1933","1487","1134","1098","1177","1045","841","608","421","305","186","174","32.5","32.5","32.6","29450","14332","15118","28905","14060","14845","27765","13529","14236","3932","1760","2172","3050","1356","1694","36385","35095","18164","9758","200","2905","776","803","209","63","142","457","455","31","6","16","6","3","4037","1290","78","206","233","398","19133","10233","372","3256","81","4665","36385","10704","6125","275","323","3981","25681","36385","10704","5603","359","125","40","16","3938","623","25681","12561","9399","75","2865","15","99","667","36385","36378","17634","5470","8411","6785","2286","601","255","2577","90","55","1219","7","0","0","0","7","6","1","17634","8571","4060","5470","2354","878","369","2223","1337","9063","7478","3788","353","3690","653","4387","2350","2.06","2.89","20521","17634","2887","2211","60","165","23","99","329","3.2","14.9","17634","5036","12598","10562","25816","2.1","2.05","0.24374835724","0.00151918722"
"73.1","77042","77042","16189862.0","100352.0","+29.7413251","-095.5602537","36385","2947","2146","1573","1518","3194","4657","3941","3130","2407","2171","2238","1883","1530","1109","756","541","362","282","17769","1454","1066","805","728","1469","2306","2008","1643","1273","1073","1061","838","689","501","335","236","176","108","18616","1493","1080","768","790","1725","2351","1933","1487","1134","1098","1177","1045","841","608","421","305","186","174","32.5","32.5","32.6","29450","14332","15118","28905","14060","14845","27765","13529","14236","3932","1760","2172","3050","1356","1694","36385","35095","18164","9758","200","2905","776","803","209","63","142","457","455","31","6","16","6","3","4037","1290","78","206","233","398","19133","10233","372","3256","81","4665","36385","10704","6125","275","323","3981","25681","36385","10704","5603","359","125","40","16","3938","623","25681","12561","9399","75","2865","15","99","667","36385","36378","17634","5470","8411","6785","2286","601","255","2577","90","55","1219","7","0","0","0","7","6","1","17634","8571","4060","5470","2354","878","369","2223","1337","9063","7478","3788","353","3690","653","4387","2350","2.06","2.89","20521","17634","2887","2211","60","165","23","99","329","3.2","14.9","17634","5036","12598","10562","25816","2.1","2.05","0.24374835724","0.00151918722"
"74","77043","77043","38607360.0","20653.0","+29.8126874","-095.5836335","23358","1824","1622","1571","1598","1568","1899","1744","1621","1493","1662","1621","1439","967","854","653","545","425","252","11760","948","815","814","838","842","1024","914","837","774","842","780","680","465","363","287","233","196","108","11598","876","807","757","760","726","875","830","784","719","820","841","759","502","491","366","312","229","144","34.6","33.3","36.0","18009","9004","9005","17374","8691","8683","16451","8188","8263","3309","1470","1839","2729","1187","1542","23358","22570","15567","1219","178","1769","177","258","104","57","464","576","133","23","6","12","0","5","3814","788","76","104","51","428","16250","1320","297","1930","33","4343","23358","11234","8300","118","72","2744","12124","23358","11234","6597","165","137","20","8","3746","561","12124","8970","1054","41","1749","15","68","227","23358","23162","8251","4071","7108","5021","2326","839","250","1406","101","63","545","196","115","66","49","81","48","33","8251","5751","2604","4071","1800","558","244","1122","560","2500","1973","913","167","1060","468","3000","1993","2.81","3.35","9392","8251","1141","847","34","85","21","26","128","1.7","20.3","8251","4964","3287","13007","10155","2.62","3.09","0.31731343065","0.00360485069"
"75","77044","77044","101220908.0","19129939.0","+29.9066186","-095.1805952","30949","3294","3122","2746","2279","1806","2515","2684","2710","2204","2002","1727","1444","1063","575","326","235","128","89","15183","1682","1571","1364","1132","863","1193","1267","1304","1137","982","827","700","553","277","149","102","44","36","15766","1612","1551","1382","1147","943","1322","1417","1406","1067","1020","900","744","510","298","177","133","84","53","29.5","29.2","29.8","21282","10317","10965","20306","9824","10482","19137","9250","9887","1927","907","1020","1353","608","745","30949","29906","16426","8148","213","679","155","70","132","11","33","180","98","11","1","6","2","2","4429","1043","83","111","99","530","17288","8374","392","845","37","5103","30949","13026","10703","234","78","2011","17923","30949","13026","7590","166","165","13","2","4365","725","17923","8836","7982","48","666","9","64","318","30949","30949","9376","5751","11712","9290","2949","1241","315","1161","109","40","560","0","0","0","0","0","0","0","9376","7794","4598","5751","3362","575","314","1468","922","1582","1236","652","77","584","144","5118","1073","3.3","3.62","10158","9376","782","236","11","268","24","46","197","3.4","11.3","9376","7535","1841","25007","5942","3.32","3.23","0.53452378489","0.01124093059"
"76","77045","77045","29892027.0","393239.0","+29.6357928","-095.4328893","31255","2773","2817","2685","2684","2287","2240","2155","2148","1925","1886","1793","1671","1445","1082","743","472","261","188","14970","1410","1371","1373","1358","1164","1122","1016","991","966","931","817","720","614","453","298","208","103","55","16285","1363","1446","1312","1326","1123","1118","1139","1157","959","955","976","951","831","629","445","264","158","133","30.3","28.6","31.8","22471","10557","11914","21370","10001","11369","19809","9218","10591","3611","1479","2132","2746","1117","1629","31255","30322","8623","14906","243","222","22","14","114","3","10","37","22","15","1","6","8","0","6313","933","19","8","77","602","9362","15122","363","291","40","7062","31255","15418","10205","65","29","5119","15837","31255","15418","7876","253","205","25","15","6274","770","15837","747","14653","38","197","0","39","163","31255","31182","9060","4176","11630","7551","4898","2201","379","1418","125","62","609","73","0","0","0","73","19","54","9060","7295","3594","4176","2104","691","307","2428","1183","1765","1484","588","145","896","361","4532","2135","3.44","3.84","9730","9060","670","198","6","117","18","14","317","1.8","6.6","9060","6279","2781","21439","9743","3.41","3.5","0.37454638963","0.00282143448"
"77","77046","77046","302539.0","0.0","+29.7337772","-095.4333463","1196","25","9","12","10","104","270","152","91","48","63","51","74","84","56","41","45","35","26","580","16","2","7","2","34","121","86","63","31","37","26","32","44","25","18","13","18","5","616","9","7","5","8","70","149","66","28","17","26","25","42","40","31","23","32","17","21","36.2","37.2","34.1","1149","554","595","1144","554","590","1135","552","583","259","104","155","203","79","124","1196","1175","981","53","0","113","52","24","6","4","10","9","8","0","0","0","0","0","28","21","1","4","6","3","997","60","5","120","0","37","1196","155","72","6","3","74","1041","1196","155","117","2","0","1","0","27","8","1041","864","51","0","112","0","1","13","1196","1196","846","193","58","52","14","0","2","85","0","4","55","0","0","0","0","0","0","0","846","223","42","193","26","12","5","18","11","623","543","253","21","290","75","42","161","1.41","2.19","964","846","118","53","6","17","8","21","13","5.5","8.5","846","283","563","417","779","1.47","1.38","0.03790645489","2.82121e-05"
"78","77047","77047","35794645.0","602951.0","+29.6106498","-095.3868633","21077","1865","1597","1537","1445","1319","2131","2016","1721","1247","1320","1180","1018","761","589","548","371","241","171","9792","931","820","781","736","616","922","947","796","587","571","541","445","339","247","204","155","94","60","11285","934","777","756","709","703","1209","1069","925","660","749","639","573","422","342","344","216","147","111","31.5","30.5","32.3","15789","7116","8673","15142","6775","8367","14393","6405","7988","2347","946","1401","1920","760","1160","21077","20548","4036","14046","99","568","114","54","133","6","12","190","59","7","1","3","0","3","1792","529","14","28","88","213","4415","14269","167","658","37","2103","21077","4928","3705","82","19","1122","16149","21077","4928","2607","176","65","5","1","1752","322","16149","1429","13870","34","563","6","40","207","21077","21072","7555","2906","6713","4695","2745","1141","228","1153","98","36","586","5","0","0","0","5","1","4","7555","5205","2535","2906","1443","504","212","1795","880","2350","1898","739","134","1159","294","3093","1506","2.79","3.38","8097","7555","542","172","2","126","31","16","195","2.2","8.1","7555","5607","1948","15597","5475","2.78","2.81","0.27482704808","0.00338997263"
"79","77048","77048","28702161.0","223468.0","+29.6187139","-095.3242213","15294","1246","1230","1230","1276","962","1026","961","1020","955","915","1016","962","771","623","475","326","184","116","7047","637","608","601","654","435","441","416","466","440","408","430","423","348","269","210","147","70","44","8247","609","622","629","622","527","585","545","554","515","507","586","539","423","354","265","179","114","72","33.6","31.7","34.9","11353","5066","6287","10804","4792","6012","10089","4432","5657","2166","945","1221","1724","740","984","15294","15057","1740","12371","53","118","22","3","17","1","0","56","19","4","1","3","0","0","771","237","3","3","48","102","1899","12484","88","141","11","913","15294","2406","2003","46","14","343","12888","15294","2406","1353","108","32","10","4","761","138","12888","387","12263","21","108","0","10","99","15294","15289","5223","1752","5411","3366","2178","1049","151","725","75","39","349","5","0","0","0","5","2","3","5223","3828","1632","1752","676","337","113","1739","843","1395","1171","521","155","650","238","2165","1383","2.93","3.44","6501","5223","1278","314","22","54","13","16","859","1.6","13.7","5223","3268","1955","9414","5875","2.88","3.01","0.24361781722","0.00269436659"
"80","77049","77049","63665401.0","2531231.0","+29.8329284","-095.1490398","28521","2747","2607","2586","2360","2206","2519","2357","2162","1917","1689","1683","1362","974","561","335","229","144","83","14056","1400","1386","1303","1188","1096","1213","1157","1037","907","798","833","654","475","284","147","92","63","23","14465","1347","1221","1283","1172","1110","1306","1200","1125","1010","891","850","708","499","277","188","137","81","60","28.5","27.7","29.2","20063","9703","10360","19070","9211","9859","17732","8520","9212","1864","861","1003","1352","609","743","28521","27475","13871","7285","278","982","256","49","236","5","5","295","136","5","1","1","0","3","5054","1046","51","40","123","525","14659","7561","431","1114","69","5794","28521","15839","13077","143","36","2583","12682","28521","15839","9670","162","218","20","0","5003","766","12682","4201","7123","60","962","5","51","280","28521","28487","8541","4751","10828","7956","3137","1336","367","1230","138","24","584","34","0","0","0","34","24","10","8541","6849","4058","4751","2818","570","310","1528","930","1692","1350","691","77","659","131","4658","1064","3.34","3.73","9402","8541","861","480","9","143","52","27","150","2.3","16.2","8541","6069","2472","21344","7143","3.52","2.89","0.54387770563","0.00617896817"
"81","77050","77050","17282498.0","651473.0","+29.9028869","-095.2692958","4611","477","431","335","325","359","364","363","268","270","269","224","216","233","224","133","58","36","26","2321","242","231","178","152","198","192","193","134","129","131","112","93","116","100","68","26","14","12","2290","235","200","157","173","161","172","170","134","141","138","112","123","117","124","65","32","22","14","30.2","29.1","31.3","3306","1646","1660","3183","1583","1600","2966","1481","1485","617","293","324","477","220","257","4611","4426","1369","1678","19","21","0","0","3","0","1","9","8","0","0","0","0","0","1339","185","4","1","6","138","1519","1695","46","29","2","1507","4611","2682","2262","5","13","402","1929","4611","2682","1140","18","19","5","0","1334","166","1929","229","1660","0","16","0","5","19","4611","4611","1344","719","1652","1113","679","293","56","217","21","6","97","0","0","0","0","0","0","0","1344","1092","509","719","351","118","51","255","107","252","195","92","23","103","48","644","363","3.43","3.79","1451","1344","107","45","0","14","0","4","44","1.4","10.3","1344","954","390","3103","1508","3.25","3.87","0.20432181197","0.0016751405"
"82","77051","77051","18972731.0","92810.0","+29.6561134","-095.3786961","15085","1334","1238","1132","1169","1127","1021","864","784","791","864","1025","949","641","527","503","446","374","296","6647","655","647","574","563","462","433","370","319","338","355","467","452","253","204","203","142","120","90","8438","679","591","558","606","665","588","494","465","453","509","558","497","388","323","300","304","254","206","32.8","29.9","35.5","11133","4644","6489","10655","4413","6242","9998","4110","5888","2488","903","1585","2146","759","1387","15085","14939","549","13783","29","42","6","0","3","1","0","22","10","3","0","1","1","1","533","146","3","2","37","37","630","13885","63","54","5","597","15085","1140","842","24","16","258","13945","15085","1140","415","114","16","2","1","526","66","13945","134","13669","13","40","2","7","80","15085","15063","5806","1097","5184","3359","2217","1007","140","759","57","47","342","22","0","0","0","22","15","7","5806","3720","1666","1097","408","405","135","2218","1123","2086","1847","754","247","1093","535","2187","1808","2.59","3.28","6584","5806","778","311","11","102","22","20","312","3.9","8.5","5806","2480","3326","6295","8768","2.54","2.64","0.19161675627","0.00177653696"
"83.0","77054","77054","14473863.0","62849.0","+29.6802499","-095.4049131","22290","1332","615","445","571","3935","5194","3253","1757","1126","923","989","766","586","307","126","90","91","184","10707","663","315","217","285","1749","2477","1736","906","583","434","429","342","262","140","54","40","31","44","11583","669","300","228","286","2186","2717","1517","851","543","489","560","424","324","167","72","50","60","140","28.9","29.2","28.7","19807","9459","10348","19640","9367","10273","18948","9055","9893","1132","467","665","798","309","489","22290","21717","6847","8014","65","6067","2196","2161","510","69","243","416","472","14","8","1","1","4","710","573","30","180","86","52","7245","8238","177","6370","40","852","22290","2364","1461","185","51","667","19926","22290","2364","1413","125","26","21","0","660","119","19926","5434","7889","39","6046","14","50","454","22290","21185","12181","2465","2904","2316","1126","222","116","2509","32","15","710","1105","100","44","56","1005","467","538","12181","4080","1619","2465","892","413","135","1202","592","8101","6269","2966","119","3303","242","1775","641","1.74","2.59","14173","12181","1992","1470","38","153","11","134","186","6.5","12.8","12181","2186","9995","3898","17287","1.78","1.73","0.25899870704","0.00135486465"
