"shapeid","x","y"
"0","-95.096708","30.167214"
"0","-95.096476","30.166572"
"0","-95.096458","30.166522"
"0","-95.096404","30.166375"
"0","-95.096387","30.166326"
"0","-95.096308","30.16611"
"0","-95.096074","30.165462"
"0","-95.095997","30.165246"
"0","-95.095836","30.164798"
"0","-95.095674","30.16435"
"0","-95.095561","30.164038"
"0","-95.095471","30.163789"
"0","-95.093266","30.158575"
"0","-95.093228","30.158488"
"0","-95.093061","30.158093"
"0","-95.092985","30.15789"
"0","-95.091979","30.155198"
"0","-95.088285","30.14531"
"0","-95.087054","30.142014"
"0","-95.086974","30.1418"
"0","-95.086734","30.14116"
"0","-95.086655","30.140947"
"0","-95.086637","30.1409"
"0","-95.086585","30.140761"
"0","-95.086568","30.140715"
"0","-95.086565","30.140712"
"0","-95.086559","30.140703"
"0","-95.086558","30.1407"
"0","-95.08637","30.140195"
"0","-95.086027","30.139272"
"0","-95.085809","30.138683"
"0","-95.085622","30.13818"
"0","-95.085574","30.138051"
"0","-95.08543","30.137666"
"0","-95.085382","30.137538"
"0","-95.085377","30.137525"
"0","-95.085362","30.137486"
"0","-95.085358","30.137474"
"0","-95.085326","30.137389"
"0","-95.085249","30.137183"
"0","-95.085235","30.137133"
"0","-95.085211","30.137046"
"0","-95.084874","30.136226"
"0","-95.084671","30.135661"
"0","-95.084591","30.135498"
"0","-95.084507","30.135262"
"0","-95.083838","30.133378"
"0","-95.083654","30.13286"
"0","-95.083629","30.132789"
"0","-95.083554","30.132578"
"0","-95.083529","30.132508"
"0","-95.082699","30.130175"
"0","-95.080209","30.123177"
"0","-95.07938","30.120845"
"0","-95.079195","30.120325"
"0","-95.07864","30.118765"
"0","-95.078456","30.118246"
"0","-95.078044","30.117088"
"0","-95.076808","30.113614"
"0","-95.076396","30.112456"
"0","-95.07603","30.111427"
"0","-95.074932","30.108341"
"0","-95.074567","30.107313"
"0","-95.074314","30.106602"
"0","-95.073555","30.104471"
"0","-95.073303","30.103761"
"0","-95.073285","30.103709"
"0","-95.072764","30.103222"
"0","-95.072603","30.103054"
"0","-95.072183","30.101944"
"0","-95.064404","30.081393"
"0","-95.064377","30.081326"
"0","-95.064297","30.081124"
"0","-95.064271","30.081058"
"0","-95.063921","30.080177"
"0","-95.062893","30.077586"
"0","-95.062874","30.077537"
"0","-95.062542","30.076651"
"0","-95.06225","30.075848"
"0","-95.061374","30.07344"
"0","-95.061083","30.072638"
"0","-95.060738","30.071691"
"0","-95.059705","30.06885"
"0","-95.059361","30.067903"
"0","-95.059048","30.067043"
"0","-95.05811","30.064463"
"0","-95.057798","30.063604"
"0","-95.056881","30.061082"
"0","-95.056847","30.06099"
"0","-95.056844","30.06098"
"0","-95.049818","30.042037"
"0","-95.04971","30.041765"
"0","-95.0496","30.04149"
"0","-95.048538","30.03887"
"0","-95.048489","30.038726"
"0","-95.04844","30.038581"
"0","-95.048393","30.038441"
"0","-95.048344","30.038295"
"0","-95.048334","30.038271"
"0","-95.048308","30.038206"
"0","-95.048295","30.038172"
"0","-95.046215","30.033181"
"0","-95.046183","30.033001"
"0","-95.046123","30.032661"
"0","-95.046077","30.0325"
"0","-95.046031","30.032339"
"0","-95.045582","30.030774"
"0","-95.045132","30.029209"
