"shapeid","x","y"
"0","-95.170125","29.665365"
"0","-95.170818","29.665349"
"0","-95.171149","29.665342"
"0","-95.171353","29.665338"
"0","-95.172234","29.665319"
"0","-95.172983","29.665314"
"0","-95.173365","29.665312"
"0","-95.173756","29.66531"
"0","-95.174129","29.665306"
"0","-95.174299","29.665306"
"0","-95.174519","29.665305"
"0","-95.174523","29.66583"
"0","-95.174906","29.665808"
"0","-95.174918","29.66629"
"0","-95.174922","29.666444"
"0","-95.174918","29.666868"
"0","-95.172266","29.66695"
"0","-95.172297","29.668514"
"0","-95.172307","29.668778"
"0","-95.172344","29.669691"
"0","-95.172359","29.670343"
"0","-95.172358","29.670661"
"0","-95.172358","29.670814"
"0","-95.172364","29.672138"
"0","-95.172394","29.673488"
"0","-95.172424","29.675003"
"0","-95.172441","29.675867"
"0","-95.172475","29.67715"
"0","-95.172478","29.67828"
"0","-95.172478","29.678435"
"0","-95.17248","29.678907"
"0","-95.172481","29.679107"
"0","-95.172509","29.679565"
"0","-95.172527","29.679871"
"0","-95.172514","29.680611"
"0","-95.17252","29.681385"
"0","-95.172521","29.682246"
"0","-95.172526","29.68242"
"0","-95.172549","29.683112"
"0","-95.17256","29.683473"
"0","-95.172579","29.684068"
"0","-95.172638","29.685882"
"0","-95.17265","29.687258"
"0","-95.172648","29.687481"
"0","-95.172642","29.688169"
"0","-95.172637","29.68862"
"0","-95.172655","29.689363"
"0","-95.172703","29.691387"
"0","-95.172712","29.691757"
"0","-95.172729","29.69207"
"0","-95.172793","29.693472"
"0","-95.172976","29.69422"
"0","-95.172983","29.694668"
"0","-95.172985","29.695149"
"0","-95.172987","29.69548"
"0","-95.173154","29.695478"
"0","-95.173228","29.696227"
"0","-95.173033","29.69624"
"0","-95.172993","29.696448"
"0","-95.172894","29.696749"
"0","-95.172845","29.696809"
"0","-95.17248","29.6972"
"0","-95.172281","29.697347"
"0","-95.172883","29.697403"
"0","-95.172778","29.698865"
"0","-95.17296","29.699669"
"0","-95.172851","29.701024"
"0","-95.172913","29.701348"
"0","-95.173028","29.701929"
"0","-95.173118","29.705731"
"0","-95.173278","29.708689"
"0","-95.173376","29.712152"
"0","-95.173384","29.712435"
"0","-95.171886","29.712392"
"0","-95.171491","29.712381"
"0","-95.171492","29.712572"
"0","-95.17189","29.712583"
"0","-95.171892","29.712676"
"0","-95.171928","29.712765"
"0","-95.172039","29.712885"
"0","-95.172214","29.712894"
"0","-95.175071","29.712935"
"0","-95.17512","29.714032"
"0","-95.175133","29.71451"
"0","-95.175144","29.714914"
"0","-95.175226","29.718086"
"0","-95.175247","29.718893"
"0","-95.175248","29.719356"
"0","-95.175257","29.722745"
"0","-95.17526","29.724364"
"0","-95.175261","29.72502"
"0","-95.175262","29.725384"
"0","-95.175263","29.726356"
"0","-95.17527","29.726974"
"0","-95.175279","29.727864"
"0","-95.175282","29.728188"
"0","-95.175303","29.730128"
"0","-95.175409","29.73602"
"0","-95.175462","29.736515"
"0","-95.175323","29.736802"
"0","-95.174966","29.73692"
"0","-95.174715","29.737053"
"0","-95.174613","29.737154"
"0","-95.174529","29.737325"
"0","-95.174496","29.737844"
"1.0","-95.221861","29.979053"
"1.0","-95.221882","29.979099"
"1.0","-95.221945","29.979256"
"1.0","-95.221972","29.979333"
"1.0","-95.221995","29.979406"
"1.0","-95.222044","29.979606"
"1.0","-95.222055","29.979662"
"1.0","-95.222063","29.979712"
"1.0","-95.222078","29.979825"
"1.0","-95.222081","29.979885"
"1.0","-95.222075","29.979939"
"1.0","-95.222066","29.979986"
"1.0","-95.222053","29.980032"
"1.0","-95.222027","29.980072"
"1.0","-95.222013","29.980113"
"1.0","-95.221962","29.980125"
"1.0","-95.221901","29.980128"
"1.0","-95.221813","29.980128"
"1.0","-95.221752","29.980128"
"1.0","-95.22161","29.980128"
"1.0","-95.221443","29.980127"
"1.0","-95.221352","29.980127"
"1.0","-95.221167","29.980127"
"1.0","-95.221085","29.980122"
"1.0","-95.220996","29.980117"
"1.0","-95.220919","29.98011"
"1.0","-95.220744","29.980096"
"1.0","-95.220672","29.980053"
"1.0","-95.220639","29.979975"
"1.0","-95.220636","29.97992"
"1.0","-95.220631","29.979741"
"1.0","-95.220628","29.979691"
"1.0","-95.220622","29.979631"
"1.0","-95.22063","29.979586"
"1.0","-95.220628","29.979533"
"1.0","-95.220631","29.979485"
"1.0","-95.220702","29.979468"
"1.0","-95.220747","29.979445"
"1.0","-95.2208","29.979423"
"1.0","-95.2209","29.979392"
"1.0","-95.220961","29.979373"
"1.0","-95.221017","29.979355"
"1.0","-95.221091","29.979331"
"1.0","-95.221325","29.979248"
"1.0","-95.22139","29.979224"
"1.0","-95.221482","29.979192"
